,Longitude,Latitude,PM25,Date
35545,-118.5284,34.38344,10.4,06/18/2022
35873,-118.130511,34.6697390008831,8.2,06/18/2022
36194,-120.034203,36.953256,2.7,06/18/2022
36518,-122.520004,37.97231,5.0,06/18/2022
36841,-119.587094,37.748707,4.6,06/18/2022
37164,-120.433671,37.281853,2.5,06/18/2022
37488,-120.480456,37.30832,1.7,06/18/2022
37976,-119.120278,37.962069,2.5,06/18/2022
38298,-121.73333,36.4818700009023,4.7,06/18/2022
38593,-121.126371,36.2092860008996,3.4,06/18/2022
38940,-121.623271,36.6942610009043,4.1,06/18/2022
39262,-121.055608,39.2334770009245,1.9,06/18/2022
39568,-120.184592,39.3278300009251,5.3,06/18/2022
39871,-120.184592,39.3278300009251,2.3,06/18/2022
40107,-117.93845,33.83062,7.1,06/18/2022
40288,-117.93845,33.83062,6.1,06/18/2022
40715,-121.09959,38.93568,3.3,06/18/2022
41022,-120.953831711,39.100174496,4.7,06/18/2022
41263,-121.26498,38.74643,1.8,06/18/2022
41577,-120.148833333333,39.1660166666667,2.0,06/18/2022
41812,-121.338353,38.867937000922,2.5,06/18/2022
41906,-120.944376,39.9395670009288,1.0,06/18/2022
42171,-120.944376,39.9395670009288,1.2,06/18/2022
42380,-121.227848,40.3096440009309,3.4,06/18/2022
42774,-120.47069,39.81336,4.2,06/18/2022
43094,-116.85841,33.92086,7.1,06/18/2022
43423,-117.072202,33.5830180008699,7.9,06/18/2022
43750,-116.1897,33.7196900008716,8.1,06/18/2022
43961,-116.830074,33.9447129,8.7,06/18/2022
44368,-117.41601,33.9995800008751,8.8,06/18/2022
44574,-117.41601,33.9995800008751,8.8,06/18/2022
44884,-117.4924,33.996360000875,8.5,06/18/2022
45093,-117.4924,33.996360000875,9.7,06/18/2022
45416,-117.33098,33.67649,3.0,06/18/2022
45730,-121.368014,38.6137790009202,3.1,06/18/2022
46084,-121.49311,38.56844,4.8,06/18/2022
46448,-121.164457,38.683304,1.5,06/18/2022
46762,-121.164457,38.683304,3.1,06/18/2022
47081,-121.503795,38.593322,2.7,06/18/2022
47401,-121.211131,38.494475,0.8,06/18/2022
47722,-121.3621,36.8434250009057,3.0,06/18/2022
48181,-117.61722,34.030833,8.7,06/18/2022
48341,-117.61722,34.030833,15.8,06/18/2022
48667,-117.32554,34.5109611108812,8.4,06/18/2022
48990,-117.32554,34.5109611108812,8.0,06/18/2022
49318,-117.62914,34.10374,6.1,06/18/2022
49720,-116.86147,34.2646400008783,4.6,06/18/2022
50143,-116.365,32.6509000008575,9.7,06/18/2022
50418,-116.768293,32.8423180008601,5.9,06/18/2022
50688,-117.396177,33.2170550008652,6.3,06/18/2022
50981,-116.92135,32.5781600008565,8.9,06/18/2022
51329,-116.944308,32.7895650008594,8.3,06/18/2022
51561,-117.142665,32.7101770008584,8.5,06/18/2022
51760,-117.090229999878,33.3625928342781,10.1,06/18/2022
51941,-122.399044,37.765946,4.2,06/18/2022
52261,-121.281414,37.961578,1.6,06/18/2022
52568,-121.247874,37.793392,2.4,06/18/2022
52894,-121.442495,37.682635,0.0,06/18/2022
53218,-120.56388,35.02083,13.3,06/18/2022
53542,-120.58777,35.0467300008874,17.7,06/18/2022
53866,-120.644719880058,35.2595015184308,6.5,06/18/2022
54183,-120.66617,35.49453,2.4,06/18/2022
54507,-122.20337,37.482934,3.5,06/18/2022
54822,-119.691217778642,34.4277749961254,7.0,06/18/2022
55145,-120.4328444444,34.8906666667,7.3,06/18/2022
55466,-120.4575,34.6378200008827,5.6,06/18/2022
55791,-119.8284,34.4455100008805,3.1,06/18/2022
56106,-121.574684,36.999571,4.1,06/18/2022
56462,-121.894898,37.348497,5.6,06/18/2022
56786,-121.849783,37.338135,3.5,06/18/2022
57107,-121.98822,36.983320000907,2.7,06/18/2022
57428,-122.083092,37.0631500009077,2.2,06/18/2022
57740,-122.38092,40.550130000932,2.0,06/18/2022
58034,-122.633579,41.726892,0.6,06/18/2022
58314,-122.237976,38.102507,2.7,06/18/2022
58614,-122.237976,38.102507,4.0,06/18/2022
58877,-122.818294,38.403765,3.0,06/18/2022
59200,-120.994212,37.642165,6.2,06/18/2022
59554,-120.836008,37.488317,2.5,06/18/2022
59878,-121.618548986224,39.1387725442464,3.8,06/18/2022
60193,-121.618548986224,39.1387725442464,3.5,06/18/2022
60358,-122.25556,40.17093,2.0,06/18/2022
60536,-122.9412,40.73475,3.0,06/18/2022
60708,-118.82915,36.48947,7.9,06/18/2022
61021,-119.3129,36.30815,9.1,06/18/2022
61361,-119.055018,36.0318310008979,5.3,06/18/2022
61683,-118.870509,34.210169,8.2,06/18/2022
62008,-118.80998,34.404281,6.0,06/18/2022
62332,-119.2313,34.44806,5.4,06/18/2022
62656,-118.683685,34.276316,8.1,06/18/2022
62979,-118.683685,34.276316,7.4,06/18/2022
63218,-119.143182,34.25239,5.9,06/18/2022
63543,-121.7734,38.53445,0.6,06/18/2022
63938,-73.194722,41.170833000935,3.3,06/18/2022
64291,-73.443056,41.399167000936,2.7,06/18/2022
64649,-72.679923,41.771444,2.9,06/18/2022
64978,-72.631667,41.7847220009374,3.1,06/18/2022
65363,-73.297257,41.8213420009376,2.3,06/18/2022
65776,-72.902871,41.3014000009356,3.0,06/18/2022
66100,-72.902871,41.3014000009356,3.1,06/18/2022
66277,-73.043611,41.550556,3.4,06/18/2022
66604,-72.07882,41.35362,3.3,06/18/2022
66933,-75.5568,38.986672,3.8,06/18/2022
67399,-75.732,39.5513,4.3,06/18/2022
67697,-75.6036,39.57768,3.9,06/18/2022
68013,-75.558056,39.739444,4.2,06/18/2022
68333,-75.6106,38.6539,4.6,06/18/2022
68649,-76.958072,38.895572,3.5,06/18/2022
68978,-77.013178,38.9218470009224,4.1,06/18/2022
69297,-77.013178,38.9218470009224,5.2,06/18/2022
69614,-76.953426,38.8947700009222,4.3,06/18/2022
69943,-77.012816,38.8751610009221,5.2,06/18/2022
70256,-82.26608,29.5661120008103,9.8,06/18/2022
70564,-82.26608,29.5661120008103,9.7,06/18/2022
70745,-82.441111,30.2011110008208,12.2,06/18/2022
71056,-85.731517,30.1304330008197,16.4,06/18/2022
71385,-80.628611,28.053611,7.1,06/18/2022
71703,-80.33845,26.0735360007455,5.5,06/18/2022
72380,-80.169817,26.132677,7.5,06/18/2022
72707,-80.0963533689314,26.2910878597443,6.1,06/18/2022
73031,-80.1763888888889,26.2941666666666,7.1,06/18/2022
73350,-82.6429652126674,28.9586436101112,10.8,06/18/2022
73646,-81.7109593300421,26.2700825638459,8.2,06/18/2022
73942,-82.619167,30.1780560008205,12.2,06/18/2022
74244,-81.635396,30.356339,12.1,06/18/2022
74572,-81.587339,30.477725,11.2,06/18/2022
74898,-81.633980694,30.135797178,9.5,06/18/2022
75302,-81.453611,30.2602780008218,11.0,06/18/2022
75625,-81.606833,30.262778,9.4,06/18/2022
75954,-87.20355,30.525367,14.2,06/18/2022
76225,-82.795356,30.426029,13.3,06/18/2022
76540,-82.419835,27.779712,11.3,06/18/2022
76854,-82.469532,27.9551330007819,9.0,06/18/2022
77020,-82.538429412,27.892523006,11.0,06/18/2022
77402,-82.2304,27.9656500007821,6.4,06/18/2022
77723,-85.603889,30.8486110008311,11.9,06/18/2022
78048,-81.8779081610228,26.602015752134,7.3,06/18/2022
78313,-81.8779081610228,26.602015752134,7.6,06/18/2022
78604,-84.346389,30.4397220008247,11.8,06/18/2022
78930,-82.100645862,29.170532805,9.2,06/18/2022
79246,-80.240689,27.172458,7.0,06/18/2022
79608,-80.399722,25.68333,8.4,06/18/2022
80309,-80.482778,25.471944,9.4,06/18/2022
80864,-80.666446785,26.724786003,5.3,06/18/2022
81191,-80.219619,26.687606,4.6,06/18/2022
81466,-80.0927778,26.4569444,6.6,06/18/2022
81795,-82.731766912,27.946687816,8.4,06/18/2022
82111,-82.7398753622281,27.7858655503876,9.1,06/18/2022
82359,-82.7007069013916,28.0902994860128,11.1,06/18/2022
82666,-81.972222,28.028889,7.9,06/18/2022
82979,-87.008033,30.394133000824,16.2,06/18/2022
