,precipitation,temperature,air pressure,relative humidity,U-wind,V-wind,PM 2.5,longitude,latitude
63,0.0,301.6031,89515.625,28.826454,-3.29126,3.3507607,16.0,-103.1807,32.62412
64,0.375,305.64996,100115.625,53.46708,-2.2092285,1.9943154,12.2,-96.26388,32.05327
65,0.0234375,304.4156,101265.625,76.084274,3.043701,-0.122872114,16.4,-87.96011,30.6211
66,0.03125,302.57184,101340.625,89.31864,3.6696777,0.43083882,14.2,-87.33817,30.47935
67,0.03125,302.68903,101353.125,88.36552,3.7263184,0.17595601,16.2,-87.02824,30.40684
68,0.015625,302.4781,101403.125,88.66239,3.030029,-0.6463096,16.4,-85.79558,30.10612
69,8.203125,302.9859,101115.625,65.52177,0.22534168,0.7960732,9.2,-82.16982,29.10396
70,5.4375,302.2281,101153.125,68.201454,-0.14965832,1.2941201,7.4,-81.28128,28.83079
71,0.0,305.31403,100078.125,18.115517,-1.1330568,3.6554482,12.1,-115.4906,32.5804
72,0.0078125,305.20465,98490.625,28.443642,-0.22875988,5.457206,30.8,-114.4993,32.66998
73,0.5390625,305.25934,94978.125,23.631142,2.8161619,8.499198,10.8,-112.1766,32.83593
74,2.8359375,305.25934,95803.125,23.631142,1.7478026,4.664237,9.2,-111.8438,32.85468
75,2.03125,303.4937,100578.125,73.709274,1.8210448,-0.49201274,12.6,-89.45139,31.2265
76,0.015625,302.87653,101390.625,84.09989,2.3669434,0.17400289,11.4,-84.17591,29.96977
77,0.0,292.08746,100340.625,72.75615,2.6257322,2.510917,8.5,-117.1809,32.68389
78,0.0,291.02496,96565.625,68.56865,3.6657712,1.238456,7.7,-116.8512,32.72128
79,0.0,290.7984,90165.625,25.771767,6.3552246,5.921073,9.7,-116.521,32.75744
80,0.0,305.0406,100265.625,18.912392,0.33471668,2.2882607,24.75,-115.5284,32.8586
81,0.0546875,306.84528,98803.125,42.63114,-2.4064941,1.9982216,13.6,-97.48707,32.75831
82,1.375,306.6031,99428.125,45.638954,-2.1877441,1.979667,13.699999999999998,-96.82715,32.68482
83,0.890625,306.62653,100015.625,47.87333,-2.1408691,2.6183388,14.8,-96.16883,32.60647
84,0.0078125,303.9937,101215.625,76.50614,1.9577636,0.14568257,11.8,-84.38531,30.31623
85,0.9296875,303.50934,101015.625,62.584267,0.43432605,0.69548726,9.75,-82.26303,29.71424
86,0.0703125,302.18903,101365.625,71.64677,0.49682605,1.1749794,9.6,-81.06838,29.34804
87,0.328125,306.20465,96490.625,21.18583,1.2341307,3.4630654,10.275,-112.2231,33.39562
88,1.1484375,306.89996,96490.625,20.37333,1.2458495,3.4591591,7.633333333333333,-111.8874,33.41459
89,0.0,305.38434,101103.125,69.62333,1.7243651,-0.6384971,11.9,-85.52415,30.9034
90,2.8828125,303.45465,101128.125,68.865524,1.6491698,0.285331,12.2,-82.76398,30.15328
91,2.7578125,303.18903,101028.125,68.69365,1.5886229,0.31853414,12.2,-82.46133,30.06475
92,0.0,290.47028,97853.125,88.326454,2.289795,4.6095495,6.3,-117.272,33.23932
93,0.0,289.1656,92753.125,60.443645,1.9147948,4.090995,10.1,-116.9393,33.27713
94,0.0,303.44684,95890.625,12.053017,5.08374,3.9093544,10.3,-115.9391,33.38316
95,0.34375,305.75934,95828.125,20.96708,2.7341306,6.128104,6.7,-112.2467,33.67599
96,0.5234375,306.8609,94490.625,20.045204,1.1462401,3.6398232,8.2,-111.9094,33.69507
97,0.0625,301.37653,90403.125,32.77958,-2.3762207,3.5929482,12.0,-101.7616,33.67648
98,0.015625,307.14996,99278.125,42.013954,-2.6066897,2.4835732,14.8,-97.06879,33.27803
99,0.1796875,303.8062,100303.125,65.90459,0.41186512,0.22380757,13.7,-90.1847,32.23096
100,4.6796875,303.34528,101115.625,70.928024,1.7595214,0.88298726,13.3,-82.66177,30.41545
101,5.1484375,301.65778,101215.625,77.09208,1.6481932,0.9445107,9.5,-81.75308,30.14537
102,0.0,291.00153,92890.625,51.138954,1.9128417,4.0919714,7.9,-116.984,33.55555
103,0.0,296.46246,92478.125,16.701454,4.5007324,3.6720498,8.1,-116.3147,33.62789
104,18.710938,303.40778,100578.125,72.803024,2.0612793,0.48454976,13.3,-83.17093,30.85377
105,10.5078125,301.7359,101340.625,77.97489,1.8649901,1.3048623,10.9,-81.64678,30.40632
106,9.9453125,301.5406,101340.625,79.18584,1.8708495,1.2999794,11.0,-81.34452,30.31377
107,0.0,290.00153,100065.625,87.56864,2.48999,1.4298623,6.599999999999999,-118.0346,33.71584
108,0.0,291.19684,94540.625,51.88114,2.267334,3.4181435,3.0,-117.3647,33.79606
109,0.0,293.12653,89140.625,23.334267,6.3356934,5.4933386,7.8999999999999995,-116.6932,33.87131
110,0.0,304.6187,94053.125,19.240517,-1.4602052,7.629081,10.0,-113.6533,34.14781
111,0.6015625,303.44684,100803.125,70.146774,-0.90942395,0.07341695,13.8,-93.97504,33.4468
112,0.0,304.02496,100640.625,69.7249,1.6257323,-1.2273643,12.7,-88.42154,32.44683
113,0.0,290.9234,97878.125,67.77959,0.42163074,3.198417,8.82,-118.0845,33.99422
114,0.0,287.6656,93515.625,49.91239,1.887451,2.8400185,9.675,-117.7483,34.03519
115,0.0,290.7437,90640.625,53.467083,3.3083494,3.3292763,8.95,-117.4117,34.07491
116,0.0,286.52496,82453.125,16.56083,5.039795,5.785331,4.6,-116.7372,34.15059
117,0.0,305.9859,98278.125,42.865517,-3.4045413,1.0782998,14.7,-97.60896,34.1874
118,0.203125,304.89996,99965.625,62.709267,2.7722166,-1.2674034,12.5,-84.21028,31.72421
119,0.0,290.31403,98515.625,54.904583,5.8083496,-1.5681846,5.9,-119.1451,34.14184
120,0.0,289.71246,96215.625,60.45927,-0.47680676,3.6974404,7.8999999999999995,-118.8088,34.18678
121,0.0,291.08746,96815.625,66.07646,2.7712402,0.9366982,9.600000000000001,-118.4721,34.23048
122,0.0,286.3531,83740.625,29.451454,4.782959,3.0343544,8.2,-117.4591,34.35406
123,6.4296875,294.4156,81840.625,51.279583,-0.8020021,1.2218544,8.9,-106.4867,34.95613
124,0.0,304.25934,97228.125,48.06083,-3.0842288,1.7863076,16.4,-98.58652,34.568
125,0.6171875,303.57184,99965.625,71.35771,1.8620604,-2.2849815,7.5,-86.32754,32.55179
126,14.0234375,301.93903,101265.625,79.834274,2.8601072,2.6417763,6.1,-81.32268,31.19051
127,0.0,288.2437,101203.125,89.68583,5.244873,-1.7576377,3.1,-119.8744,34.32596
128,0.0,289.71246,97028.125,42.888954,5.5202637,-0.27521586,7.0,-119.5376,34.37365
129,0.0,290.31403,93515.625,54.904583,2.947998,0.785331,5.4,-119.2004,34.42009
130,0.0,288.8062,91715.625,41.13114,-0.47875988,3.6974404,6.0,-118.8626,34.46529
131,0.0,289.88434,91178.125,31.521767,-0.06762707,3.6544716,10.4,-118.5244,34.50923
132,0.0,289.88434,88678.125,31.521767,2.8532712,4.3077917,8.2,-118.1857,34.55193
133,8.2109375,294.34528,81578.125,52.310833,-0.47094738,0.78435445,7.95,-106.4843,35.23907
134,0.046875,301.59528,89365.625,32.84208,-1.8127443,5.2970495,18.5,-101.9856,35.10301
135,0.703125,304.9781,101203.125,65.2874,0.6306151,-0.3367393,13.3,-90.7974,33.78302
136,0.0,303.7281,99515.625,65.59208,2.3825684,-2.582833,9.850000000000001,-84.96053,32.50503
137,0.0,287.28278,100965.625,91.513954,7.059326,-6.905099,5.6,-120.6079,34.50433
138,0.0,291.90778,88865.625,27.365517,2.7390134,4.2081823,3.0,-118.917,34.7441
139,3.2734375,292.8062,80315.625,52.77958,-0.855713,1.1036904,7.0,-106.1337,35.51971
140,0.0078125,302.27496,98690.625,67.38896,-2.3303223,1.7970498,17.0,-95.77131,34.83227
141,0.0703125,303.07965,99753.125,75.5999,1.5270995,-1.8718956,7.5,-87.11394,33.31712
142,0.0,289.68903,97190.625,69.90459,5.2370605,-6.371896,7.3,-120.3316,34.83279
143,0.0,289.4234,86803.125,26.232704,8.1188965,1.4298623,5.4,-118.2888,35.11083
144,0.0,302.2437,97215.625,61.34208,-2.5686035,2.410331,20.9,-97.43513,35.30848
145,0.3984375,304.02496,100115.625,69.12334,0.88256824,-1.0017784,3.7,-92.32571,34.62374
146,0.0390625,302.65778,99240.625,74.4749,1.6325682,-1.6883018,8.3,-87.02527,33.58816
147,0.03125,302.07184,98640.625,74.92021,1.824951,-2.4910362,8.3,-86.70015,33.5134
148,0.109375,305.68903,99903.125,53.31864,2.4772947,-2.5095909,9.9,-83.49357,32.70342
149,8.0859375,304.6031,101053.125,63.12333,2.133545,2.3644326,10.7,-81.30022,32.07115
150,0.0,286.7281,100340.625,93.38114,5.119873,-3.872872,15.5,-120.733,35.06007
151,0.0,295.88434,97465.625,22.209267,4.800537,-3.154122,3.9,-119.0271,35.30259
152,0.0,299.5562,90078.125,10.193642,2.1550293,7.818534,4.1,-115.2317,35.72365
153,0.0,302.81403,97015.625,57.459267,-1.9113771,3.4933388,18.8,-97.73663,35.62518
154,0.0,302.4312,97715.625,59.803017,-2.3322754,2.6993935,21.3,-97.39066,35.5895
155,0.0078125,302.7359,99340.625,73.271774,1.4831542,-1.1638877,6.7,-86.93582,33.85944
156,1.09375,305.12653,99890.625,56.428017,2.2673337,-2.433419,12.8,-82.75675,32.79356
157,0.0,286.56403,100215.625,92.28739,3.861084,-0.7742393,4.45,-120.7964,35.33835
158,0.0,294.4781,87678.125,16.263954,6.644287,3.5011513,3.6,-117.7027,35.75438
